i'm 19 .	j'ai 19 ans .
i'm staying .	je reste .
i'm stuffed .	je suis gavé .
i'm stuffed .	je suis gavée .
i'm stunned .	je suis sidéré .
i'm stunned .	je suis sidérée .
i'm talking .	je suis en train de discuter .
i'm teasing .	je taquine .
i'm thirsty .	j'ai soif .
i'm through .	j'en ai fini .
i'm through .	j'en ai terminé .
i'm too fat .	je suis trop gros .
i'm touched .	je suis touché .
i'm touched .	je suis touchée .
i'm unhappy .	je suis mécontent .
i'm unhappy .	je suis mécontente .
i'm unlucky .	j'ai la schcoumoune .
i'm wealthy .	je suis fortuné .
i'm wealthy .	je suis fortunée .
i'm winning .	je gagne .
i'm winning .	je l'emporte .
i'm working .	je suis en train de travailler .
i'm worried .	je me fais du souci .
she is curt .	elle n'a pas de charme .
she is dead .	elle est morte .
she is kind .	elle est gentille .
she is late .	elle est en retard .
they're bad .	ils sont mauvais .
they're bad .	elles sont mauvaises .
they're old .	ils sont vieux .
they're old .	elles sont vieilles .
we are even .	nous sommes quittes .
we are even .	nous sommes à égalité .
we are here .	nous sommes ici .
we are here .	nous y sommes .
we are late .	nous sommes en retard .
we remember .	nous nous souvenons .
we remember .	nous nous en souvenons .
we're alone .	nous sommes seuls .
we're alone .	nous sommes seules .
we're angry .	nous sommes en colère .
we're armed .	nous sommes armés .
we're armed .	nous sommes armées .
we're bored .	nous nous ennuyons .
we're bored .	on s'emmerde .
we're broke .	nous sommes fauchés .
we're broke .	nous sommes fauchées .
we're broke .	on est fauchés .
we're dying .	nous sommes en train de mourir .
we're early .	nous sommes en avance .
we're going .	nous y allons .
we're happy .	nous sommes heureux .
we're ready .	nous sommes prêtes .
we're saved .	nous sommes sauvés .
we're saved .	nous sommes sauvées .
we're smart .	nous sommes intelligents .
we're smart .	nous sommes intelligentes .
we're sorry .	nous sommes désolés .
we're sorry .	nous sommes désolées .
we're stuck .	nous sommes coincés .
we're stuck .	nous sommes coincées .
we're tired .	nous sommes fatigués .
we're tired .	nous sommes fatiguées .
we're twins .	nous sommes jumeaux .
we're twins .	nous sommes jumelles .
you are big .	tu es grand .
you are big .	tu es grande .
you are big .	vous êtes grand .
you are big .	vous êtes grande .
you are big .	vous êtes grands .
you are big .	vous êtes grandes .
you are mad .	tu es fou .
you're back .	tu es de retour .
you're back .	vous êtes de retour .
you're cool .	t'es sympa .
you're cool .	t'es décontracté .
you're fair .	tu es juste .
you're fair .	vous êtes juste .
you're fair .	vous êtes justes .
you're fine .	tu vas bien .
you're free .	tu es libre .
you're free .	vous êtes libres .
you're free .	vous êtes libre .
you're good .	vous êtes bon .
you're good .	vous êtes bonne .
you're good .	vous êtes bons .
you're good .	vous êtes bonnes .
you're good .	tu es bon .
you're good .	tu es bonne .
you're good .	t'es bon .
you're good .	t'es bonne .
you're kind .	tu es gentil .
you're kind .	tu es gentille .
you're lazy .	tu es paresseux .
you're lazy .	tu es paresseuse .
you're lazy .	vous êtes paresseux .
you're lazy .	vous êtes paresseuses .
you're lazy .	vous êtes paresseuse .
you're lost .	tu es perdu .
you're lost .	tu es perdue .
you're nice .	t'es sympa .
you're nice .	vous êtes sympa .
you're nice .	vous êtes sympas .
you're nuts !	tu es fou  !
you're nuts !	t'es dingue !
you're nuts !	vous êtes dingue !
you're nuts !	vous êtes dingues !
you're nuts !	t'es givré !
you're nuts !	t'es givrée !
you're nuts !	vous êtes givré !
you're nuts !	vous êtes givrée !
you're nuts !	vous êtes givrés !
you're nuts !	vous êtes givrées !
you're rich .	tu es riche .
you're rich .	vous êtes riche .
you're rich .	vous êtes riches .
you're rude .	tu es grossier .
you're rude .	vous êtes grossiers .
you're rude .	vous êtes grossière .
you're rude .	vous êtes grossières .
you're rude .	tu es grossière .
you're safe .	tu es en sécurité .
you're safe .	vous êtes en sécurité .
you're safe .	tu es sauf .
you're safe .	vous êtes saufs .
you're safe .	vous êtes sauf .
you're safe .	vous êtes sauve .
you're safe .	vous êtes sauves .
you're safe .	tu es sauve .
you're sick !	vous êtes malade  !
you're sick !	tu es malade !
you're sick !	vous êtes malade !
you're thin .	tu es mince .
you're thin .	vous êtes mince .
you're thin .	vous êtes minces .
you're weak .	tu es faible .
you're weak .	vous êtes faible .
you're weak .	vous êtes faibles .
he is asleep .	il est endormi .
he is cranky .	il est excentrique .
he is eating .	il est en train de manger .
he is heroic .	il est héroïque .
he shall die .	il doit mourir .
i am italian .	je suis italien .
i am ashamed .	j'ai honte .
i am curious .	je suis curieux .
i am married .	je suis mariée .
i am thirsty .	j'ai soif .
i am working .	je suis en train de travailler .
i'm a coward .	je suis un couard .
i'm a coward .	je suis un lâche .
i'm a doctor .	je suis médecin .
i'm a doctor .	je suis toubib .
i'm a farmer .	je suis fermier .
i'm a farmer .	je suis agriculteur .
i'm a farmer .	je travaille dans ma ferme .
i'm a farmer .	je suis un agriculteur .
i'm a purist .	je suis un puriste .
i'm addicted .	je suis drogué .
i'm addicted .	je suis accro .
i'm addicted .	j'ai une assuétude .
i'm all done .	j'ai tout fini .
i'm all done .	j'ai tout terminé .
i'm all ears .	je suis tout ouïe .
i'm an adult .	je suis adulte .
i'm an agent .	je suis un agent .
i'm bleeding .	je suis en train de saigner .
i'm confused .	je me mélange les pinceaux .
i'm creative .	je suis créatif .
i'm creative .	je suis créative .
i'm cultured .	je suis cultivé .
i'm cultured .	je suis cultivée .
i'm divorced .	je suis divorcé .
i'm divorced .	je suis divorcée .
i'm drowning .	je suis en train de me noyer .
i'm eighteen .	j'ai dix-huit ans .
i'm faithful .	je suis fidèle .
i'm famished .	je suis affamé !
i'm fearless .	je suis intrépide .
i'm fighting .	je me bats .
i'm finished .	j'ai terminé .
i'm finished .	j'en ai terminé .
i'm free now .	je suis libre maintenant .
i'm freezing .	je suis gelé .
i'm grounded .	je suis cloué .
i'm grounded .	je suis clouée .
i'm gullible .	je suis crédule .
i'm homesick .	j'ai le mal du pays .
i'm hungover .	j'ai la gueule de bois .
i'm in paris .	je suis à paris .
i'm innocent .	je suis innocent .
i'm innocent .	je suis innocente .
i'm innocent .	je suis ingénu .
i'm innocent .	je suis ingénue .
i'm involved .	je suis impliqué .
i'm involved .	je suis impliquée .
i'm managing .	je m'en sors .
i'm new here .	je suis nouveau, ici .
i'm no rebel .	je ne suis pas un rebelle .
i'm no saint .	je ne suis pas un saint .
i'm no saint .	je ne suis pas une sainte .
i'm not busy .	je ne suis pas occupé .
i'm not deaf .	je ne suis pas sourd .
i'm not deaf .	je ne suis pas sourde .
i'm not done .	je n'ai pas fini .
i'm not done .	je n'ai pas terminé .
i'm not done .	je n'en ai pas terminé .
i'm not dumb .	je ne suis pas abruti .
i'm not dumb .	je ne suis pas abrutie .
i'm not evil .	je ne suis pas mauvais .
i'm not here .	je ne suis pas ici .
i'm not here .	je ne suis pas là .
i'm not home .	je ne suis pas chez moi .
i'm not home .	je ne suis pas à la maison .
i'm not hurt .	je ne suis pas blessé .
i'm not hurt .	je ne suis pas blessée .
i'm not mean .	je ne suis pas méchant .
i'm not mean .	je ne suis pas méchante .
i'm not rich .	je ne suis pas riche .
i'm not sure .	je n'en suis pas certain .
i'm not sure .	je n'en suis pas certaine .
i'm not tall .	je ne suis pas grand .
i'm not tall .	je ne suis pas grande .
i'm not ugly .	je ne suis pas laid .
i'm not ugly .	je ne suis pas laide .
i'm not well .	je ne vais pas bien .
i'm off-duty .	je ne suis pas en service .
i'm offended .	je suis offensé .
i'm offended .	je suis offensée .
i'm outraged .	je suis indigné .
i'm outraged .	je suis indignée .
i'm powerful .	je suis puissant .
i'm powerful .	je suis puissante .
i'm prepared .	je suis prêt .
i'm prepared .	je suis préparée .
i'm prepared .	je suis préparé .
i'm punctual .	je suis ponctuel .
i'm punctual .	je suis ponctuelle .
i'm rational .	je suis rationnel .
i'm rational .	je suis rationnelle .
i'm reformed .	je me suis amendé .
i'm reformed .	je me suis amendée .
i'm reliable .	je suis fiable .
i'm restless .	je ne tiens pas en place .
i'm ruthless .	je suis impitoyable .
i'm shooting .	je tire .
i'm sleeping .	je suis en train de dormir .
i'm so sorry .	je suis tellement désolé !
i'm so sorry .	je suis tellement désolée !
i'm so tired !	je suis si fatigué  !
i'm so tired !	je suis tellement las !
i'm speaking .	je suis en train de parler .
i'm starving !	je meurs de faim !
i'm starving .	je crève de faim !
i'm starving .	j'ai la fringale .
i'm stubborn .	je suis têtu .
i'm stubborn .	je suis têtue .
i'm stubborn .	je suis obstiné .
i'm stubborn .	je suis obstinée .
i'm the boss .	c'est moi le patron .
i'm the boss .	c'est moi la patronne .
i'm the boss .	je suis le patron .
i'm the boss .	je suis la patronne .
i'm thinking .	je réfléchis .
i'm thorough .	je suis minutieux .
i'm thorough .	je suis minutieuse .
i'm thorough .	je suis consciencieux .
i'm thorough .	je suis consciencieuse .
i'm thrilled .	je suis ravi .
i'm thrilled .	je suis ravie .
i'm ticklish .	je suis chatouilleux .
i'm ticklish .	je suis chatouilleuse .
i'm too busy .	je suis trop occupé .
i'm too busy .	je suis trop occupée .
i'm too busy .	je suis trop affairé .
i'm too busy .	je suis trop affairée .
i'm truthful .	je dis la vérité .
i'm unbiased .	je suis impartial .
i'm unbiased .	je suis impartiale .
i'm upstairs .	je suis au-dessus .
i'm very fat .	je suis très gros .
i'm very fat .	je suis très gras .
i'm very sad .	je suis très triste .
i'm very shy .	je suis très timide .
i'm worn out .	je suis épuisé .
she is lucky .	elle est chanceuse .
she is lucky .	elle est chançarde .
she is quiet .	elle est tranquille .
she is sharp .	elle est tranchante .
she is sharp .	elle est affûtée .
she is wrong .	elle a tort .
she is young .	elle est jeune .
she shot him .	elle lui tira dessus .
she shot him .	elle le descendit .
she shrieked .	elle a crié .
she shrieked .	elle cria .
she stood up .	elle se leva .
she sued him .	elle l'a poursuivi en justice .
she sued him .	elle le poursuivit en justice .
she sued him .	elle lui a fait un procès .
she sued him .	elle lui fit un procès .
they refused .	ils ont refusé .
they refused .	elles ont refusé .
they relaxed .	ils se sont détendus .
they relaxed .	elles se sont détendues .
they're back .	ils sont de retour .
they're back .	elles sont de retour .
they're boys .	ce sont des garçons .
they're cold .	ils sont froids .
they're cold .	elles sont froides .
they're cool .	ils sont sympa .
they're cool .	elles sont sympa .
they're cops .	ce sont des flics .
they're cute .	ils sont mignons .
they're cute .	elles sont mignonnes .
they're dead .	ils sont décédés .
they're dead .	elles sont décédées .
they're done .	ils ont terminé .
they're done .	elles ont terminé .
they're free .	ils sont libres .
they're free .	elles sont libres .
they're gone .	ils sont partis .
they're gone .	elles sont parties .
they're gone .	il n'y en a plus .
they're here .	ils sont là .
they're mine .	ils sont à moi .
they're mine .	ils sont miens .
they're mine .	ce sont les miens .
they're mine .	ce sont les miennes .
they're mine .	elles sont miennes .
they're mine .	elles sont à moi .
they're rich .	ils sont riches .
they're rich .	elles sont riches .
they're weak .	ils sont faibles .
they're weak .	elles sont faibles .
we are arabs .	nous sommes arabes .
we are happy .	nous sommes heureux .
we're a team .	nous sommes une équipe .
we're adults .	nous sommes des adultes .
we're all ok .	nous allons tous bien .
we're at war .	nous sommes en guerre .
we're biased .	notre point de vue est biaisé .
we're biased .	nous avons des préjugés .
we're buying .	nous achetons .
we're closed .	nous sommes fermés .
we're coming .	nous venons .
we're dating .	nous sortons ensemble .
we're doomed .	nous sommes condamnés .
we're hiding .	nous nous cachons .
we're inside .	nous sommes à l'intérieur .
we're joking .	nous plaisantons .
we're losing .	nous perdons .
we're losing .	nous sommes en train de perdre .
we're moving .	nous sommes en train de bouger .
we're normal .	nous sommes normaux .
we're normal .	nous sommes normales .
we're paying .	nous sommes en train de payer .
we're pooped .	nous sommes crevés .
we're pooped .	nous sommes crevées .
we're ruined .	nous sommes ruinés .
we're ruined .	nous sommes ruinées .
we're shaken .	nous sommes remués .
we're shaken .	nous sommes remuées .
we're sneaky .	nous sommes sournois .
we're sneaky .	nous sommes sournoises .
we're strong .	nous sommes forts .
we're strong .	nous sommes fortes .
we're trying .	nous essayons .
you are good .	vous êtes bon .
you are good .	vous êtes bonne .
you are good .	vous êtes bons .
you are good .	vous êtes bonnes .
you are good .	tu es bon .
you are good .	tu es bonne .
you are late .	tu es en retard .
you are late .	vous êtes en retard .
you are rich .	vous êtes riches .
you're bossy .	tu joues au chef .
you're bossy .	tu fais le chef .
you're crazy .	tu es fou .
you're cruel .	tu es cruelle .
you're cruel .	tu es cruel .
you're cruel .	vous êtes cruelle .
you're cruel .	vous êtes cruelles .
you're cruel .	vous êtes cruel .
you're cruel .	vous êtes cruels .
you're early .	tu viens tôt .
you're early .	vous êtes matinal .
you're early .	vous êtes matinale .
you're early .	tu es matinal .
you're early .	tu es matinale .
you're early .	tu es en avance .
you're early .	vous êtes en avance .
you're fired .	tu es viré .
you're fired .	tu es licencié .
you're first .	tu es en premier .
you're first .	tu passes en premier .
you're first .	vous êtes en premier .
you're funny .	t'es marrante .
you're funny .	t'es marrant .
you're funny .	vous êtes marrants .
you're funny .	vous êtes marrantes .
you're funny .	vous êtes marrant .
you're funny .	vous êtes marrante .
you're fussy .	tu es difficile .
you're fussy .	tu fais des manières .
you're fussy .	vous faites des manières .
you're gross !	tu es malpoli !
you're lying !	tu mens !
you're lying !	vous mentez !
you're lying .	vous mentez .
you're moody .	tu es lunatique .
you're naive .	tu es naïf .
you're naive .	tu es naïve .
you're naive .	vous êtes naïf .
you're naive .	vous êtes naïve .
you're naive .	vous êtes naïfs .
you're naive .	vous êtes naïves .
you're quiet .	tu es calme .
you're quiet .	tu es tranquille .
you're right .	tu as raison .
you're silly .	tu es idiot .
you're silly .	vous êtes idiot .
you're silly .	vous êtes idiote .
you're silly .	tu es idiote .
you're silly .	vous êtes idiots .
you're silly .	vous êtes idiotes .
you're stuck .	t'es planté .
you're stuck .	t'es plantée .
you're stuck .	vous êtes plantés .
you're stuck .	vous êtes plantées .
you're stuck .	vous êtes plantée .
you're stuck .	vous êtes planté .
you're tough .	tu es dure .
you're tough .	tu es dur .
you're tough .	vous êtes dur .
you're tough .	vous êtes dure .
you're tough .	vous êtes durs .
you're tough .	vous êtes dures .
you're upset .	tu es contrariée .
you're upset .	tu es contrarié .
you're weird .	tu es bizarre .
you're weird .	vous êtes bizarre .
you're weird .	vous êtes bizarres .
you're wrong .	tu es dans l'erreur .
you're wrong .	tu as tort .
you're young .	tu es jeune .
you're young .	vous êtes jeune .
you're young .	vous êtes jeunes .
he is british .	il est britannique .
he is english .	il est anglais .
he is foolish .	il est idiot .
he is reading .	il lit .
he is reading .	il est en train de lire .
he is running .	il court .
he is skating .	il fait du patin .
he is skating .	il patine .
he seems kind .	il a l'air gentil .
he sells cars .	il vend des voitures .
he smells bad .	il pue .
i am american .	je suis américain .
i am american .	je suis américaine .
i am japanese .	je suis japonais .
i am diabetic .	je suis diabétique .
i am divorced .	je suis divorcé .
i am divorced .	je suis divorcée .
i'm a patient .	je suis un patient .
i'm a patient .	je suis une patiente .
i'm a student .	je suis étudiant .
i'm a teacher .	je suis professeur .
i'm a teacher .	je suis enseignante .
i'm adaptable .	je m'adapte .
i'm afraid so .	j'en ai peur .
i'm all alone .	je suis tout seul .
i'm all right .	je vais bien .
i'm all yours .	je suis tout à toi .
i'm all yours .	je suis tout à vous .
i'm all yours .	je suis toute à toi .
i'm all yours .	je suis toute à vous .
i'm ambitious .	je suis ambitieuse .
i'm ambitious .	je suis ambitieux .
i'm an artist .	je suis un artiste .
i'm an artist .	je suis une artiste .
i'm an orphan .	je suis orphelin .
i'm attentive .	je suis attentive .
i'm attentive .	je suis attentif .
i'm available .	je suis disponible .
i'm beautiful .	je suis belle .
i'm beautiful .	je suis beau .
i'm busy, too .	je suis également affairé .
i'm busy, too .	je suis également affairée .
i'm busy, too .	je suis également occupé .
i'm busy, too .	je suis également occupée .
i'm concerned .	je suis préoccupé .
i'm concerned .	je suis préoccupée .
i'm confident .	j'ai confiance .
i'm contented .	me voilà satisfait .
i'm contented .	me voilà satisfaite .
i'm convinced .	j'en suis convaincu .
i'm depressed .	je suis déprimé .
i'm desperate .	je suis désespéré .
i'm desperate .	je suis désespérée .
i'm different .	je suis différente .
i'm disgusted .	je suis dégoûté .
i'm disgusted .	je suis dégoûtée .
i'm easygoing .	je suis facile à vivre .
i'm exhausted .	je suis épuisée .
i'm exhausted .	je suis épuisé .
i'm exhausted .	je suis vanné .
i'm exhausted .	je suis vannée .
i'm exhausted .	je suis fourbu .
i'm exhausted .	je suis crevé .
i'm exhausted .	je suis crevée .
i'm forgetful .	je suis distrait .
i'm forgetful .	je suis distraite .
i'm forgetful .	je suis étourdi .
i'm forgetful .	je suis étourdie .
i'm home, tom .	je suis chez moi, tom .
i'm hung over .	j'ai mal au cœur .
i'm impatient .	je suis impatient .
i'm impatient .	je suis impatiente .
i'm important .	je suis important .
i'm impressed .	je suis impressionnée .
i'm impulsive .	je suis impulsif .
i'm impulsive .	je suis impulsive .
i'm in boston .	je suis à boston .
i'm in danger .	je suis en danger .
i'm intrigued .	je suis intrigué .
i'm intrigued .	je suis intriguée .
i'm intrigued .	cela m'intrigue .
i'm just lazy .	je suis juste paresseux .
i'm just lazy .	je suis juste paresseuse .
i'm listening .	j'écoute .
i'm motivated .	je suis motivée .
i'm motivated .	je suis motivé .
